year	title	author	publisher
2009	The Pat Metheny Interviews	Dr. Richard Niles	Hal Leonard
2014	The Invisible Artist - Arrangers in Popular Music (1950-2000)	Dr. Richard Niles	Niles Smiles Music
2015	From Dreaming to Gigging – Jazz Guitar in 6 Months	Dr. Richard Niles	Niles Smiles Music
2016	Polymetrics – For Non-Drummers with Gary O’Toole	Dr. Richard Niles	Jazzsense
2016	The Bandzilla Songbook	Dr. Richard Niles	Niles Smiles Music
2017	Songwriting – The 11-Point Plan	Dr. Richard Niles	Niles Smiles Music
2018	Joe Venuti – Never Before, Never Again	Dr. Richard Niles	Mel Bay
2020 	Adventures in Arranging	Dr. Richard Niles	Niles Smiles Music
2021	Piano Grooves	Dr. Richard Niles	Niles Smiles Music
2021	What is Melody?	Dr. Richard Niles	Niles Smiles Music
2021	Whatever Happened to Hollywood?	Jesse Lasky Jr.	Niles Smiles Music
2022	How to be an Employable Musician	Dr. Richard Niles	Niles Smiles Music
2022	Cómo ser un Músico Empleable	Dr. Richard Niles	Niles Smiles Music
2023	Adventures in Jazz Composition	Dr. Richard Niles	Niles Smiles Music
2024	Arrange Like a Pro Video Course from ProMix Academy	Dr. Richard Niles	Spitfire
2026	Adventures in Creativity Video Course from ProMix Academy	Dr. Richard Niles	Spitfire
2026	Hits & Happiness – A Musical Memoir	Dr. Richard Niles	Niles Smiles Music
